datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_rt,total_lmp_rt,congestion_price_rt,marginal_loss_price_rt,row_is_current,version_nbr
1/7/2024 8:00:00 AM,1/7/2024 3:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,27.120000,30.130000,1.530000,1.480000,True,1
1/7/2024 9:00:00 AM,1/7/2024 4:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.390000,27.960000,1.180000,1.390000,True,1
1/7/2024 10:00:00 AM,1/7/2024 5:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,23.450000,23.550000,-1.150000,1.250000,True,1
1/7/2024 11:00:00 AM,1/7/2024 6:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,20.860000,20.860000,-0.860000,0.860000,True,1
1/7/2024 12:00:00 PM,1/7/2024 7:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,23.910000,23.760000,-0.730000,0.590000,True,1
1/7/2024 1:00:00 PM,1/7/2024 8:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.620000,26.020000,-1.170000,0.570000,True,1
1/7/2024 2:00:00 PM,1/7/2024 9:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,24.680000,24.060000,-1.370000,0.750000,True,1
1/7/2024 3:00:00 PM,1/7/2024 10:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.770000,29.850000,2.870000,1.210000,True,1
1/7/2024 4:00:00 PM,1/7/2024 11:00:00 AM,5021520,SHINGLET,230 KV,T81,LOAD,APS,28.720000,55.840000,25.420000,1.710000,True,1
1/7/2024 5:00:00 PM,1/7/2024 12:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,28.210000,71.850000,41.790000,1.860000,True,1
1/7/2024 6:00:00 PM,1/7/2024 1:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,26.780000,57.470000,28.900000,1.790000,True,1
1/7/2024 7:00:00 PM,1/7/2024 2:00:00 PM,5021520,SHINGLET,230 KV,T81,LOAD,APS,25.210000,36.630000,9.940000,1.480000,True,1
